FAA Site Number,Loc ID,Airport Name,Associated City,State,Region,ADO,Use,Latitude,Longitude,Airport Ownership,Part 139,NPIAS Service Level,NPIAS Hub Type,Airport Control Tower,Fuel,Other Services,Based Aircraft Total,Total Operations
23094.18*H,TN29,67 MADISON AVE PARTNERSHIP LTD,MEMPHIS,TN,ASO,MEM,PR,35-08-14.3240N,090-03-15.3280W,PR,,NON-NPIAS,,N,,,0,0 
26181.01*A,73WA,7 BAYS,DAVENPORT,WA,ANM,SEA,PR,47-51-03.5680N,118-19-48.9560W,PR,,NON-NPIAS,,N,,,10,0 
01611.16*H,0CL4,700 NORTH BRAND,GLENDALE,CA,AWP,LAX,PR,34-09-26.0250N,118-15-16.2690W,PR,,NON-NPIAS,,N,,,0,0 
23543.51*A,0XA5,74 RANCH,CAMPBELLTON,TX,ASW,TEX,PR,28-41-07.3800N,098-22-59.2200W,PR,,NON-NPIAS,,N,,,0,0 
21596.*H,86PA,7D FARMS,TIPTON,PA,AEA,HAR,PR,40-38-40.2310N,078-18-02.0520W,PR,,NON-NPIAS,,N,,,0,0 
01476.1*A,CL25,7R RANCH,CUYAMA,CA,AWP,LAX,PR,34-56-07.9050N,119-27-06.4330W,PR,,NON-NPIAS,,N,,,2,0 
25750.02*H,13VA,7TH DIV STATE POLICE HQTRS,FAIRFAX,VA,AEA,DCA,PR,38-49-26.0060N,077-16-58.9510W,PU,,NON-NPIAS,,N,,,0,0 
03405.2*A,FD02,85TH AVENUE AIRSTRIP,ORANGE SPRINGS,FL,ASO,ORL,PR,29-29-05.8950N,082-01-19.3260W,PR,,NON-NPIAS,,N,,,0,0 
17733.1*H,OI94,9 NEWSPORT,CINCINNATI,OH,AGL,DET,PR,39-05-00.2160N,084-30-44.7930W,PR,,NON-NPIAS,,N,,,0,0 
25228.5*H,UT39,A A HELICOPTERS INC,NORTH SALT LAKE,UT,ANM,DEN,PR,40-51-29.8020N,111-56-04.7800W,PR,,NON-NPIAS,,N,,,0,0 
13351.61*H,28NH,A AND K,NEW BOSTON,NH,ANE,NONE,PR,42-56-12.7000N,071-40-10.3000W,PR,,NON-NPIAS,,N,,,0,0 
07463.27*H,32LA,A B DOCK SERVICES,CAMERON,LA,ASW,LNM,PR,29-46-25.0000N,093-21-00.0000W,PR,,NON-NPIAS,,N,,,12,0 
27779.73*A,WY11,A BAR A RANCH,ENCAMPMENT,WY,ANM,DEN,PR,41-09-29.8870N,106-33-27.1110W,PR,,NON-NPIAS,,N,,,1,0 
00665.2*G,AZ86,A C GOODWIN MEMORIAL FIELD,COYOTE SPRINGS,AZ,AWP,PHX,PR,34-41-06.7000N,112-17-24.9000W,PR,,NON-NPIAS,,N,,,0,0 
21201.*A,61PN,A G A FARMS,PERKASIE,PA,AEA,HAR,PR,40-25-32.3720N,075-13-56.6290W,PR,,NON-NPIAS,,N,,,2,0 
02315.12*H,8CL4,A G SPANOS COMPANIES HQ,STOCKTON,CA,AWP,SFO,PR,38-02-50.0000N,121-22-13.3000W,PR,,NON-NPIAS,,N,,,0,0 
19673.16*H,24PN,A H  BUTZ DOWNTOWN ALLENTOWN,ALLENTOWN,PA,AEA,HAR,PR,40-36-03.8000N,075-28-30.3000W,PR,,NON-NPIAS,,N,,,0,0 
02999.12*H,16DE,A I  DUPONT CHILDREN'S HOSPITAL,WILMINGTON,DE,AEA,HAR,PR,39-46-51.2600N,075-33-20.7600W,PR,,NON-NPIAS,,N,,,0,0 
03060.03*H,58FL,A I M,BOCA RATON,FL,ASO,ORL,PR,26-24-56.2710N,080-11-29.1650W,PR,,NON-NPIAS,,N,,,0,0 
00913.5*A,6AR2,A J'S,CASA,AR,ASW,AOK,PR,35-01-13.3210N,093-03-53.6280W,PR,,NON-NPIAS,,N,,,2,0 
24400.*A,OCH,A L MANGHAM JR RGNL,NACOGDOCHES,TX,ASW,TEX,PU,31-34-39.9500N,094-42-36.4000W,PU,,General Aviation,,N,100LLA,INSTR  RNTL,30,22800 
25770.*A,APH,A P HILL AAF (FORT A P HILL),FORT A. P. HILL,VA,AEA,DCA,PR,38-04-08.0049N,077-19-08.2596W,MR,,NON-NPIAS,,N,,,0,0 
11733.1*A,H88,A PAUL VANCE FREDERICKTOWN RGNL,FREDERICKTOWN,MO,ACE,NONE,PU,37-36-20.3000N,090-17-14.9000W,PU,,General Aviation,,N,100LLA    MOGAS,,16,2470 
10543.5*A,7Y7,A R S SPORT STRIP,BELLE PLAINE,MN,AGL,DMA,PU,44-39-59.8660N,093-47-00.8650W,PR,,NON-NPIAS,,N,,,5,3000 
01817.41*H,46CL,A T & T CENTER,LOS ANGELES,CA,AWP,LAX,PR,34-02-23.0440N,118-13-42.2630W,PR,,NON-NPIAS,,N,,,0,0 
09563.01*H,7MI9,A T I,BELLEVILLE,MI,AGL,DET,PR,42-13-15.1410N,083-28-35.7670W,PR,,NON-NPIAS,,N,,,0,0 
25194.6*A,03UT,A Z MINERALS CORPORATION,MEXICAN HAT,UT,ANM,DEN,PR,37-07-15.0040N,109-59-09.4460W,PU,,NON-NPIAS,,N,,,0,0 
24248.*H,XA63,AAF,LUCAS,TX,ASW,TEX,PR,33-05-20.4300N,096-35-31.4700W,PR,,NON-NPIAS,,N,,,0,0 
26011.1*A,1VA7,AARON PENSTON FLD,SOUTH BOSTON,VA,AEA,DCA,PR,36-39-57.5010N,078-43-21.0180W,PR,,NON-NPIAS,,N,,,1,0 
00751.52*H,AZ41,ABACUS TOWER,PHOENIX,AZ,AWP,PHX,PR,33-29-00.1540N,112-04-12.5340W,PR,,NON-NPIAS,,N,,,0,0 
19604.1*A,91OR,ABBA'S,SHERIDAN,OR,ANM,SEA,PR,45-06-09.4120N,123-25-09.3870W,PR,,NON-NPIAS,,N,,,0,0 
22094.*A,SC81,ABBEVILLE,ABBEVILLE,SC,ASO,ATL,PR,34-09-05.4230N,082-21-13.4530W,PR,,NON-NPIAS,,N,,,5,7655 
07405.*A,IYA,ABBEVILLE CHRIS CRUSTA MEMORIAL,ABBEVILLE,LA,ASW,LNM,PU,29-58-32.8000N,092-05-03.2000W,PU,,General Aviation,,N,100LLA,AGRI  CHTR  INSTR  SALES,32,91595 
22094.01*H,SC83,ABBEVILLE COUNTY MEMORIAL HOSPITAL,ABBEVILLE,SC,ASO,ATL,PR,34-09-37.0000N,082-23-00.0000W,PU,,NON-NPIAS,,N,,,0,0 
07403.11*H,LA95,ABBEVILLE GENERAL HOSPITAL,ABBEVILLE,LA,ASW,LNM,PR,29-58-27.7000N,092-06-30.3600W,PR,,NON-NPIAS,,N,,,0,0 
00103.*A,0J0,ABBEVILLE MUNI,ABBEVILLE,AL,ASO,JAN,PU,31-36-00.8000N,085-14-17.9100W,PU,,General Aviation,,N,,,0,1600 
18388.81*H,68OI,ABBEY ETNA,PERRYSBURG,OH,AGL,DET,PR,41-33-53.1840N,083-36-35.7640W,PR,,NON-NPIAS,,N,80,,0,0 
90001.*A,CYXX,ABBOTSFORD,ABBOTSFORD,,,NONE,PU,49-01-31.0000N,122-21-36.0000W,PU,,NON-NPIAS,,Y,100LLA,,0,0 
13294.01*H,NH21,ABBOTT,JACKSON,NH,ANE,NONE,PR,44-08-53.2440N,071-10-05.2600W,PR,,NON-NPIAS,,N,,,0,0 
25988.06*A,VG58,ABBOTT,ROCKY MOUNT,VA,AEA,NYC,PR,36-56-43.2000N,079-47-48.0000W,PR,,NON-NPIAS,,N,,,1,0 
10821.03*H,MN10,ABBOTT NORTHWESTERN HOSPITAL,MINNEAPOLIS,MN,AGL,DMA,PR,44-57-16.8750N,093-15-40.8080W,PR,,NON-NPIAS,,N,,,0,0 
01817.37*H,22CN,ABC-TV,LOS ANGELES,CA,AWP,LAX,PR,34-06-12.0330N,118-16-57.2720W,PR,,NON-NPIAS,,N,,,0,0 
01611.19*H,06CL,ABC7-TV,GLENDALE,CA,AWP,LAX,PR,35-09-26.0000N,118-17-19.0000W,PR,,NON-NPIAS,,N,,,0,0 
12417.8*A,17MT,ABEL RANCH,KALISPELL,MT,ANM,HLN,PR,48-06-25.4000N,114-10-38.1000W,PR,,NON-NPIAS,,N,,,1,0 
26006.*A,31VA,ABERDEEN FIELD,SMITHFIELD,VA,AEA,DCA,PR,37-01-25.5330N,076-35-18.8330W,PR,,NON-NPIAS,,N,,,0,0 
04125.*A,U36,ABERDEEN MUNI,ABERDEEN,ID,ANM,HLN,PU,42-55-15.9500N,112-52-51.2700W,PU,,General Aviation,,N,,AGRI,16,7500 
22603.*A,ABR,ABERDEEN RGNL,ABERDEEN,SD,AGL,DMA,PU,45-26-53.9000N,098-25-20.8000W,PU,I A S 05/1973,Primary,Non-Hub,N,100LLA,AFRT  AGRI  AMB  CHTR  INSTR  RNTL  SALES,64,44165 
23160.*A,GZS,ABERNATHY FIELD,PULASKI,TN,ASO,MEM,PU,35-09-14.7000N,087-03-25.4000W,PU,,General Aviation,,N,100LLA+,INSTR,10,8042 
23283.*A,F83,ABERNATHY MUNI,ABERNATHY,TX,ASW,TEX,PU,33-50-45.2890N,101-45-46.6120W,PU,,NON-NPIAS,,N,,AGRI,1,600 
50584.11*A,AK46,ABI,PALMER,AK,AAL,NONE,PR,61-37-43.7900N,149-02-35.4800W,PR,,NON-NPIAS,,N,,,2,0 
11240.12*A,MS30,ABIDE AIRPARK,GREENVILLE,MS,ASO,JAN,PR,33-18-20.4260N,090-59-25.3750W,PR,,NON-NPIAS,,N,,SALES,0,4400 
25755.12*A,14VG,ABILENE,FARMVILLE,VA,AEA,DCA,PR,37-10-05.0000N,078-30-03.0000W,PR,,NON-NPIAS,,N,,,2,0 
23284.16*A,TX00,ABILENE EXECUTIVE AIRPARK,ABILENE,TX,ASW,TEX,PR,32-26-56.0000N,099-37-12.0000W,PR,,NON-NPIAS,,N,,,3,0 
06460.*A,K78,ABILENE MUNI,ABILENE,KS,ACE,NONE,PU,38-54-14.6000N,097-14-09.1000W,PU,,General Aviation,,N,100LLA,AGRI  CHTR  INSTR  RNTL,20,37800 
23287.*A,ABI,ABILENE RGNL,ABILENE,TX,ASW,TEX,PU,32-24-40.8000N,099-40-54.8000W,PU,I B S 05/1973,Primary,Non-Hub,Y,100LLA    A1+,AFRT  AMB  AVNCS  CHTR  SALES,122,55602 
23284.1*H,4TX1,ABILENE RGNL MEDICAL CENTER,ABILENE,TX,ASW,TEX,PR,32-22-28.4580N,099-44-34.3160W,PR,,NON-NPIAS,,N,,,0,0 
19660.*H,PN03,ABINGTON MEMORIAL HOSPITAL,ABINGTON,PA,AEA,HAR,PR,40-07-07.3900N,075-07-14.6200W,PR,,NON-NPIAS,,N,,,0,0 
05008.*A,SPI,ABRAHAM LINCOLN CAPITAL,SPRINGFIELD,IL,AGL,CHI,PU,39-50-39.2000N,089-40-41.1000W,PU,I B S 05/1973,Primary,Non-Hub,Y,100LLA,CHTR  INSTR  RNTL,168,33974 
04821.01*H,20LL,ABRAHAM LINCOLN MEMORIAL HOSPITAL,LINCOLN,IL,AGL,CHI,PR,40-09-11.0000N,089-23-27.0000W,PR,,NON-NPIAS,,N,,,0,0 
01849.81*A,7CA1,ABRAHAM RANCH,LUCERNE VALLEY,CA,AWP,LAX,PR,34-24-52.9990N,116-37-21.0850W,PR,,NON-NPIAS,,N,,,4,0 
09848.*A,4D0,ABRAMS MUNI,GRAND LEDGE,MI,AGL,DET,PU,42-46-29.5756N,084-43-59.2985W,PU,,General Aviation,,N,100LL,CHTR  INSTR  RNTL,20,12300 
07584.44*H,93LA,ABROM KAPLAN MEMORIAL HOSPITAL,KAPLAN,LA,ASW,LNM,PR,30-02-00.7400N,092-17-49.4660W,PR,,NON-NPIAS,,N,,,0,0 
04495.82*H,00LL,AC & R COMPONENTS,CHATHAM,IL,AGL,CHI,PR,39-39-55.0000N,089-42-20.0000W,PR,,NON-NPIAS,,N,,,0,0 
03513.17*H,9FD6,ACADEMY,TAMPA,FL,ASO,ORL,PR,27-56-49.0790N,082-25-15.3370W,PU,,NON-NPIAS,,N,,,0,0 
07828.01*C,ME07,ACADIAN,BAR HARBOR,ME,ANE,NONE,PR,44-23-52.9800N,068-13-10.5000W,PR,,NON-NPIAS,,N,,,1,0 
07509.05*H,LA65,ACADIAN MED CNTR A CAMPUS OF MRMC,EUNICE,LA,ASW,LNM,PR,30-29-48.0000N,092-23-14.0000W,PR,,NON-NPIAS,,N,,,0,0 
07589.07*H,89LA,ACADIANA ONE OFFICE BLDG,LAFAYETTE,LA,ASW,LNM,PR,30-10-29.7270N,092-04-45.4410W,PR,,NON-NPIAS,,N,,,0,0 
07670.*A,ARA,ACADIANA RGNL,NEW IBERIA,LA,ASW,LNM,PU,30-02-15.9300N,091-53-02.0260W,PU,IV A U 05/1975,General Aviation,,Y,100LLA,AFRT  CARGO  INSTR,26,10977 
25882.*A,MFV,ACCOMACK COUNTY,MELFA,VA,AEA,DCA,PU,37-38-48.8000N,075-45-39.8000W,PU,,General Aviation,,N,100LLA+,AGRI  CHTR,21,16203 
27408.31*A,67WI,ACCURATE,NECEDAH,WI,AGL,CHI,PR,43-58-15.8850N,089-59-49.4600W,PR,,NON-NPIAS,,N,,,2,95 
07693.2*A,38LS,ACE FLYING,PARKS,LA,ASW,LNM,PR,30-14-12.0000N,091-49-47.0000W,PR,,NON-NPIAS,,N,,,2,0 
11122.5*A,9M4,ACKERMAN CHOCTAW COUNTY,ACKERMAN,MS,ASO,JAN,PU,33-18-12.4470N,089-13-42.2410W,PU,,General Aviation,,N,,,3,900 
05805.*A,4C7,ACKLEY MUNI,ACKLEY,IA,ACE,NONE,PU,42-32-50.8000N,093-02-00.3000W,PR,,NON-NPIAS,,N,,,3,450 
09640.*H,8MI2,ACME,CENTERLINE,MI,AGL,DET,PR,42-28-19.1300N,083-00-39.7100W,PR,,NON-NPIAS,,N,,,0,0 
26093.3*A,WA12,ACME FIELD,ACME,WA,ANM,SEA,PR,48-42-34.4070N,122-10-39.5660W,PR,,NON-NPIAS,,N,,,0,0 
13082.17*H,NV40,ACTION,LAS VEGAS,NV,AWP,PHX,PR,35-57-00.0000N,115-10-00.0000W,PR,,NON-NPIAS,,N,,,0,0 
23695.02*H,TS99,ACTION NR 2,CYPRESS,TX,ASW,TEX,PR,29-56-07.8030N,095-30-48.7870W,PR,,NON-NPIAS,,N,,,0,0 
09112.01*C,6MA8,ACUSHNET RIVER,NEW BEDFORD,MA,ANE,NONE,PR,41-38-50.3740N,070-55-03.1370W,PR,,NON-NPIAS,,N,,,0,0 
17517.*A,0D7,ADA,ADA,OH,AGL,DET,PU,40-47-26.1890N,083-49-44.7740W,PR,,NON-NPIAS,,N,,,14,555 
18771.*A,ADH,ADA MUNI,ADA,OK,ASW,AOK,PU,34-48-15.3431N,096-40-16.3191W,PU,,General Aviation,,N,100LLA,INSTR  RNTL  SALES,57,12100 
07143.*A,6KY4,ADAIR,FOUNTAIN RUN,KY,ASO,MEM,PR,36-45-12.0000N,085-57-14.0000W,PR,,NON-NPIAS,,N,,,1,0 
10267.1*A,MI33,ADAIR AIRSTRIP,RICHMOND,MI,AGL,DET,PR,42-47-30.6850N,082-39-20.6950W,PR,,NON-NPIAS,,N,,,1,0 
06019.11*H,75IA,ADAIR COUNTY MEMORIAL HOSPITAL,GREENFIELD,IA,ACE,NONE,PR,41-18-14.3000N,094-27-03.6000W,PR,,NON-NPIAS,,N,,,0,0 
50009.*A,ADK,ADAK,ADAK ISLAND,AK,AAL,NONE,PU,51-52-40.8883N,176-38-45.3093W,PU,I A S 04/2005,General Aviation,,N,A1,CARGO,0,340 
10186.52*H,21MI,ADAMS,ORCHARD LAKE,MI,AGL,DET,PR,42-34-20.1190N,083-23-27.7680W,PR,,NON-NPIAS,,N,,,0,0 
17067.5*A,8NC5,ADAMS,ROWLAND,NC,ASO,MEM,PR,34-34-34.0200N,079-14-55.7400W,PR,,NON-NPIAS,,N,,,2,0 
20123.*A,90PA,ADAMS,CONEVILLE,PA,AEA,HAR,PR,41-52-45.2360N,078-06-54.0270W,PR,,NON-NPIAS,,N,,,0,0 
03788.13*A,GA91,ADAMS,FAYETTEVILLE,GA,ASO,ATL,PR,33-23-49.4170N,084-27-36.7340W,PR,,NON-NPIAS,,N,,,0,0 
05231.31*H,56II,ADAMS CO MEMORIAL HOSPITAL,DECATUR,IN,AGL,CHI,PR,40-49-17.1700N,084-54-57.8760W,PU,,NON-NPIAS,,N,,,0,0 
27213.1*A,63C,ADAMS COUNTY LEGION FIELD,FRIENDSHIP (ADAMS),WI,AGL,CHI,PU,43-57-38.1171N,089-47-19.1200W,PU,,General Aviation,,N,100LL,INSTR,14,7070 
18480.*H,2OH3,ADAMS COUNTY RGNL MEDICAL CENTER,SEAMAN,OH,AGL,DET,PR,38-56-00.0000N,083-35-19.0000W,PR,,NON-NPIAS,,N,,,0,0 
03570.14*H,7FL1,ADAMS EXECUTIVE,WINTER HAVEN,FL,ASO,ORL,PR,28-01-01.0000N,081-40-30.0000W,PR,,NON-NPIAS,,N,,,0,0 
00765.01*H,72AZ,ADAMS PLACE,PRESCOTT VALLEY,AZ,AWP,PHX,PR,34-42-29.5200N,112-20-01.0800W,PR,,NON-NPIAS,,N,,,0,0 
04981.5*A,94IS,ADAMS PVT,ROYALTON,IL,AGL,CHI,PR,37-54-10.1810N,089-08-15.2830W,PR,,NON-NPIAS,,N,,,4,0 
03200.02*A,7FL3,ADAMS RANCH,FORT PIERCE,FL,ASO,ORL,PR,27-26-31.1420N,080-35-03.2010W,PR,,NON-NPIAS,,N,,,3,0 
04952.121*A,70LL,ADAMS RLA NUMBER 1,PONTIAC,IL,AGL,CHI,PR,40-56-30.1190N,088-45-00.2410W,PR,,NON-NPIAS,,N,,,1,0 
04952.123*A,2LL7,ADAMS RLA NUMBER 2,PONTIAC,IL,AGL,CHI,PR,40-56-05.0000N,088-44-15.2000W,PR,,NON-NPIAS,,N,,,2,0 
18399.1*A,83OH,ADAMS STRIP,PLEASENT HILL,OH,AGL,DET,PR,40-03-44.1840N,084-22-45.8140W,PR,,NON-NPIAS,,N,,,3,0 
03455.24*A,40FL,ADANA AIRFIELD,PUNTA GORDA,FL,ASO,ORL,PR,26-57-09.2900N,081-52-15.3900W,PR,,NON-NPIAS,,N,,,1,0 
05281.04*H,1IN8,ADDERLY'S PAD,FORT WAYNE,IN,AGL,CHI,PR,41-06-26.7000N,085-13-05.2000W,PR,,NON-NPIAS,,N,,,0,0 
24177.5*A,4TX8,ADDINGTON FIELD,KRUM,TX,ASW,TEX,PR,33-14-55.4250N,097-13-26.0590W,PR,,NON-NPIAS,,N,,,2,0 
07107.01*A,EKX,ADDINGTON FIELD,ELIZABETHTOWN,KY,ASO,MEM,PU,37-41-09.6000N,085-55-30.1000W,PU,,General Aviation,,N,100LLA+,AVNCS  INSTR  RNTL,46,16000 
23710.3*A,ADS,ADDISON,DALLAS,TX,ASW,TEX,PU,32-58-06.8000N,096-50-11.2000W,PU,,Reliever,,Y,100LLA,AVNCS  CHTR  INSTR  RNTL  SALES  SURV,561,97563 
00106.*A,2A8,ADDISON MUNI,ADDISON,AL,ASO,JAN,PU,34-13-01.7100N,087-09-29.3700W,PU,,NON-NPIAS,,N,,,4,1416 
01216.2*A,52CL,ADELANTO,ADELANTO,CA,AWP,LAX,PR,34-32-14.9750N,117-27-38.1750W,PR,,NON-NPIAS,,N,,,15,0 
25867.21*A,VA71,ADEN FIELD,MANASSAS,VA,AEA,DCA,PR,38-38-54.4290N,077-31-57.9560W,PR,,NON-NPIAS,,N,,,1,0 
01217.*A,A26,ADIN,ADIN,CA,AWP,SFO,PU,41-11-11.4000N,120-57-15.8000W,PU,,NON-NPIAS,,N,,,0,100 
16095.92*A,NY17,ADIRONDACK AIRPARK ESTATES,PLATTSBURGH,NY,AEA,NYC,PR,44-36-33.1600N,073-51-28.5100W,PR,,NON-NPIAS,,N,,,3,0 
15319.12*H,62NY,ADIRONDACK HELICOPTERS,GOUVERNEUR,NY,AEA,NYC,PR,44-26-06.5400N,075-28-19.9800W,PR,,NON-NPIAS,,N,,,0,0 
16097.01*H,NY36,ADIRONDACK MEDICAL CENTER,SARANAC LAKE,NY,AEA,NYC,PR,44-20-40.0000N,074-08-33.0000W,PR,,NON-NPIAS,,N,,,0,0 
16097.*A,SLK,ADIRONDACK RGNL,SARANAC LAKE,NY,AEA,NYC,PU,44-23-07.1090N,074-12-22.2505W,PU,IV A S 11/2005,Commercial Service,,N,100LLA,CHTR,17,6386 
53002.*A,PR20,ADJUNTAS,ADJUNTAS,PR,ASO,ATL,PR,18-10-48.8200N,066-45-25.0000W,PR,,NON-NPIAS,,N,,,1,0 
11280.08*H,MS91,ADJUTANT GENERAL OFFICE,JACKSON,MS,ASO,JAN,PR,32-19-27.5230N,090-09-59.3150W,PU,,NON-NPIAS,,N,,,1,0 
24710.01*H,XA28,ADKINS,SAN ANTONIO,TX,ASW,TEX,PR,29-25-03.5500N,098-17-10.2400W,PR,,NON-NPIAS,,N,100LL,,0,0 
04727.12*A,8IL0,ADKINS RLA,HARVARD,IL,AGL,CHI,PR,42-21-10.0720N,088-38-05.3500W,PR,,NON-NPIAS,,N,,,0,0 
04719.*A,IL32,ADKISSON,HAMMOND,IL,AGL,CHI,PR,39-47-00.0000N,088-37-17.0000W,PR,,NON-NPIAS,,N,,,0,0 
14747.02*A,NM37,ADOBE RANCH PRIVATE,TRUTH OR CONSEQUENCES,NM,ASW,LNM,PR,33-34-35.2320N,107-54-00.1630W,PR,,NON-NPIAS,,N,,,0,0 
10914.81*H,MY85,ADVANCE MACHINE COMPANY,PLYMOUTH,MN,AGL,DMA,PR,45-00-06.8680N,093-28-10.8340W,PR,,NON-NPIAS,,N,,,0,0 
